0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,file,labels
31.979785,31.974471,31.971309,31.961714,31.957032,31.953863,31.961393,31.968252,31.970117,31.964835,31.970189,31.975416,31.974143,31.971958,31.971134,31.963026,31.951854,31.95444,31.951765,31.942162,31.951702,31.940154,31.933158,31.925411,31.928005,31.943851,31.932335,31.957624,31.951205,31.941089,31.945507,31.938969,31.94325,31.931414,31.941242,31.91484,31.920298,31.908149,31.895464,31.885955,31.863154,31.870606,31.856752,31.875952,31.880066,31.880057,31.904219,31.89584,31.899513,31.891542,31.892542,31.864379,31.844059,31.857008,31.863378,31.860986,31.82938,31.844283,31.83107,31.847388,31.830861,31.86818,31.87107,31.893094,31.877288,31.885947,31.890582,31.903106,31.871349,31.898401,31.881826,31.882834,feb7,L_Proline
31.877456,31.852502,31.881129,31.869941,31.875711,31.893926,31.896504,31.873854,31.890934,31.900153,31.915807,31.894839,31.908677,31.908004,31.926884,31.900465,31.908685,31.903874,31.913423,31.890757,31.888429,31.870846,31.845892,31.835768,31.840497,31.833879,31.861553,31.857553,31.876095,31.861394,31.854768,31.854423,31.85283,31.843131,31.856208,31.836736,31.819297,31.822298,31.80622,31.781466,31.773182,31.790045,31.774263,31.791118,31.816223,31.847148,31.843546,31.836992,31.841731,31.847724,31.833447,31.843075,31.824763,31.813014,31.813383,31.828124,31.826939,31.8057,31.817544,31.821914,31.813847,31.800306,31.818817,31.818153,31.829525,31.836288,31.859889,31.84714,31.853526,31.823883,31.824403,31.805916,feb7,L_Proline
31.793558,31.797328,31.809885,31.805699,31.806156,31.807924,31.811702,31.805596,31.808508,31.822106,31.826068,31.832286,31.820722,31.838969,31.808653,31.853135,31.84081,31.844316,31.821282,31.823138,31.778881,31.763619,31.771942,31.774087,31.753839,31.766452,31.76449,31.77087,31.782458,31.804467,31.792246,31.783395,31.786211,31.77147,31.768004,31.769069,31.737103,31.715135,31.732862,31.740545,31.720186,31.709533,31.713558,31.720922,31.733879,31.736673,31.740321,31.748061,31.763267,31.764347,31.735575,31.759857,31.769277,31.762034,31.763971,31.767124,31.768501,31.748301,31.783803,31.763875,31.756223,31.743851,31.785283,31.756872,31.794167,31.800754,31.795079,31.815912,31.805555,31.826588,31.813639,31.803027,feb7,L_Proline
31.777048,31.767853,31.802315,31.790646,31.771182,31.765563,31.781762,31.812254,31.78983,31.82289,31.819393,31.808613,31.80197,31.802754,31.818904,31.808605,31.787348,31.781433,31.813503,31.788797,31.772174,31.779193,31.776368,31.760634,31.75135,31.750677,31.746395,31.742954,31.761346,31.766596,31.773359,31.760577,31.763819,31.766924,31.765428,31.759969,31.741601,31.7356,31.754215,31.725691,31.725931,31.748788,31.753143,31.738041,31.742674,31.740498,31.766996,31.77291,31.770461,31.793022,31.771598,31.792198,31.786356,31.778425,31.770686,31.749981,31.754759,31.77187,31.737576,31.739561,31.774735,31.767413,31.764531,31.791525,31.792999,31.790381,31.78694,31.792214,31.795751,31.795672,31.807004,31.809877,feb7,L_Proline
31.790894,31.775576,31.792422,31.769077,31.768876,31.745612,31.775135,31.759473,31.785412,31.789453,31.798488,31.830814,31.84121,31.823547,31.822034,31.809325,31.818361,31.792086,31.763203,31.765715,31.740113,31.7386,31.740433,31.752182,31.758273,31.749333,31.754399,31.772814,31.786828,31.789565,31.791814,31.802498,31.817937,31.800561,31.807788,31.780786,31.75195,31.756463,31.75363,31.732486,31.715952,31.744083,31.735679,31.732967,31.753182,31.741874,31.753119,31.765708,31.78574,31.772735,31.764907,31.789637,31.770725,31.771574,31.775415,31.758984,31.753718,31.762706,31.732678,31.757088,31.739817,31.759961,31.761257,31.771942,31.779601,31.77051,31.775127,31.781938,31.806588,31.803418,31.77844,31.762858,feb7,L_Proline
25.381425,25.379761,25.339345,25.365515,25.351422,25.335208,25.342978,25.340937,25.378632,25.39195,25.400497,25.414191,25.424595,25.423435,25.412494,25.387284,25.409693,25.377104,25.359161,25.350957,25.373334,25.344739,25.363195,25.345019,25.33664,25.331437,25.341489,25.345724,25.36642,25.38778,25.360777,25.343722,25.302626,25.318377,25.318528,25.313702,25.344859,25.340393,25.336576,25.365675,25.370597,25.382626,25.395351,25.399321,25.38185,25.370037,25.363042,25.368052,25.403579,25.401441,25.411566,25.41443,25.397712,25.426011,25.429524,25.410821,25.409764,25.430685,25.431293,25.47764,25.489733,25.486987,25.509845,25.477151,25.501217,25.49279,25.511966,25.535672,25.535511,25.546044,25.536495,25.551838,feb7,L_Lysine
25.527508,25.523178,25.520985,25.52377,25.515455,25.519385,25.499913,25.524363,25.501874,25.510085,25.513038,25.506603,25.505955,25.484754,25.485691,25.491757,25.506291,25.500265,25.450437,25.443307,25.449573,25.455152,25.463563,25.433631,25.434903,25.438664,25.412245,25.44361,25.451741,25.458976,25.46874,25.481121,25.458392,25.48145,25.457904,25.453502,25.445403,25.438912,25.399225,25.399208,25.387132,25.395327,25.375679,25.377864,25.379504,25.393359,25.378104,25.433095,25.422794,25.423002,25.419425,25.398088,25.422746,25.427227,25.418121,25.417927,25.414287,25.421425,25.430341,25.445755,25.435143,25.42049,25.421274,25.4079,25.44265,25.422081,25.427268,25.425731,25.429749,25.438792,25.40878,25.390797,feb7,L_Lysine
25.55283,25.566532,25.581001,25.585788,25.592822,25.599056,25.611918,25.616872,25.63399,25.667708,25.694182,25.745996,25.789268,25.81808,25.804723,25.835078,25.852406,25.880937,25.894855,25.911942,25.929596,25.939536,25.956464,25.960673,25.961586,25.971293,25.982698,25.974495,25.992822,25.992261,25.981626,25.98678,25.995856,25.996799,25.995351,25.995111,25.996448,25.99928,25.991301,25.992822,25.985868,25.99656,25.993526,25.993518,25.990821,26.000009,26.00606,26.019681,26.019353,26.020473,26.018729,26.008564,25.994054,25.984162,25.973878,25.963363,25.969397,25.984027,25.996504,26.010997,26.029989,26.041209,26.05199,26.030989,26.012638,25.999345,25.982634,25.939592,25.937672,25.936623,25.913863,25.912078,feb7,L_Lysine
25.905787,25.905619,25.92806,25.924475,25.897016,25.915519,25.880513,25.885691,25.867516,25.860761,25.886036,25.884235,25.901849,25.897792,25.882129,25.865339,25.845947,25.846116,25.828556,25.8281,25.809909,25.813358,25.815567,25.80574,25.785811,25.781722,25.771478,25.797904,25.776752,25.789045,25.784971,25.757768,25.783274,25.765491,25.756704,25.740866,25.718,25.687876,25.68269,25.664923,25.649341,25.651998,25.647907,25.655271,25.653246,25.649077,25.640513,25.648701,25.649149,25.639633,25.635335,25.629404,25.628436,25.631509,25.63211,25.626324,25.62666,25.624795,25.626203,25.620129,25.611837,25.620393,25.619521,25.618056,25.624627,25.628581,25.619945,25.617464,25.617128,25.619929,25.619296,25.618096,feb7,L_Lysine
25.612702,25.612918,25.611917,25.606932,25.601322,25.606948,25.606163,25.601994,25.608053,25.607107,25.611077,25.610069,25.611629,25.606716,25.604498,25.602818,25.598313,25.600969,25.607604,25.602457,25.594639,25.595015,25.594823,25.588964,25.589429,25.593302,25.587812,25.582778,25.588788,25.589452,25.595015,25.588972,25.59375,25.600794,25.606236,25.601113,25.603539,25.602834,25.594303,25.595935,25.5863,25.580969,25.580769,25.579369,25.584932,25.584939,25.584867,25.585963,25.586523,25.579584,25.575767,25.574487,25.567916,25.550605,25.530797,25.542954,25.514319,25.544635,25.540818,25.536088,25.549125,25.545996,25.531413,25.553431,25.557096,25.556936,25.557048,25.560922,25.560465,25.549565,25.549285,25.550005,feb7,L_Lysine
